id,answer,name
554,0,Корпорация монстров
555,1,Почему я должна ждать
556,0,"В этой книге есть все, что я люблю. Атмосферность, неторопливость, тайны прошлого и загадки настоящего."
557,1,"Доктор умеет общаться с детьми, коммуникабельная, понравилось, как провела осмотр, расписала лечение. Лечение прошли уже полностью. Выбрала эту клинику в интернете, по рейтингу посмотрела. Администратор встретил замечательно. Чистота в клинике соблюдается."
558,1,"В целом - хорошо кормят, чисто, официанты стараются. Но подача некоторых блюд простовата ( и не соответствует фото в меню), где-то чуть переигрывает официант, что-то отсутствует в меню… И вот эти детали не позволяют мне поставить «отлично». Рекомендую на горячее «Телец и перец»"
559,1,"Отличный фен. До этого покупал стайлер Дайсон, его одного в семье не хватило. Этот мощнее, да ещё и разнообразие насадок образовалось. "
560,0,"Пытался купить в этом магазине гигиенический душ. Сначала оказалось, что нужного товара нет, хотя на сайте есть. Потом мне предложили самому поспрашивать их есть ли в наличии. Сами не могли сразу сказать что есть."
561,0,Бракованный хлам
562,0,"Купил вчера, поломался сегодня. Ужас"
563,0,"Хочу поделиться с вами информацией о вкусняшке. Для тех, кто любит мак! Много мака:)
Добыла тут недавно божественную булочку, и честно признаюсь, такие мне раньше не встречались.
Вот эта прелесть в разрезе!"
564,0,за свою цену нормально. 
565,0,"Самый ужасный сервис в городе, для тех кто хочет сэкономить, но получить порцию негатива и хамства в свой адрес. Женщина на стойке регистрации — Когда подходишь к стойке — ни здрасти, ничего, говорит только «Что? Сядьте! Да-да!». Хамит ужасно. К мастерам нет претензий, обычные наемники. Не ходите туда."
566,0,В зеленом слонике лучше
567,1,"Просроченные лаки,гели"
568,0,Нормально. Запах конечно термоядерный
569,0,Почему бы и нет
570,1,"офигенная гарантия. Через неделю я сломала разъем для зарядки на планшете (сама, каюсь), принесла в сервис, за пять минут все оформила, через два дня забрала. Все работает! "
571,0,Покойному Деду не понравилось передал он мне телепатически
572,0,"Привлекла невысокая цена на проживание, несмотря на расположение гостиницы в самом центре города. Сервис хороший, персонал вежливый и внимательный. К тому же, у них всегда много классных спецпредложений, на которые стоит обратить внимание."
573,0,"Низкая квалификация специалистов, не советую обращаться в данную клинику. Знакомым тоже советовали сразу удалять зуб, не разобравшись в ситуации."
574,1,"Неплохие наушники для ребёнка , но быстро сломались"
575,1,"Делала стрижку волос и окрашивание бровей и ресниц. Очень понравилось хорошее отношение к клиенту, профессионально выполнена работа. Алла профессионал своего дела, проконсультировала меня, как правильно ухаживать за волосами, как правильно окрашивать волосы."
576,1,"Машинка очень компактная, но вместительная, как раз то, что мы искали. Пользоваться ей удобно, очень нравится, что дверца большая в диаметре, загружать и доставать белье очень комфортно."
577,1,"Мне нравится, что быстро флюорографию сделали. Нравится обслуживание, очень все вежливые, очень всё быстро делают, нет очередей."
578,0,"Обманули с товаром при заказе, согласился на аналог, доставляли неделю - в результате сказали что ошиблись и привезли что то не то. Попросили подождать ещё неделю."
579,0,Не не работает 
580,0,"очереди на выдаче, невнимательные продавцы (пришлось самой за ними бегать)."
581,0,"Как-то давно попалась в руки книжка о восточных мудростях и удивился тому, что сюжеты в них и баснях Крылова одинаковы. Заслуга Крылова в том, что он положил их на стихи и выводил мудрую, остроумную, ироничную мораль в каждой басне."
582,1,Не работает один наушник
583,0,"Единственный плюс это отсутствие работающих камер и охраны, можно свободно воровать"
584,1,"Человек растет примерно до 25 лет. На этот процесс оказывают влияние гормоны, питание, физические нагрузки и генетические особенности."
585,1,"Поначалу было довольно сложно вникнуть в то, что же происходит - слишком много персонажей и информации. Но как только вливаешься в историю, оторваться уже не получается!"
586,1,"Я ходила в клинику с детьми. Приём прошел хорошо, нас вовремя приняли. Врачи использовали стерильные инструменты. Были на приеме у девушки и мужчины, имена не помню. Но могу выделить их внимательность и профессионализм."
587,0,Пока шёл я замёрз и меня съели волки
588,0,Школа фу компьютер класс
589,0,Радиоактивная помойка
590,1,Выбор гостиницы для недельного проживания в Санкт-Петербурге я сделал вполне удачно и эта гостиница оказалась очень даже неплохо обустроена. В моем номере были все необходимые атрибуты для отдыха после тяжёлого дня и в номере было очень чисто.
591,0,Бракованный хлам
592,1,Заказала компьютерный стул.Пришел полный брак..Его не возможно было собрать т.к отверстия не совпадали и не стыковались.
593,1,Дважды прислали брак. За первый(чайник) деньги вернули только какими-то бонусами. На карту отказались возвращать.
594,1,"Убогое подвальное помещение, в стандартных номерах которого отсутствует кислород как таковой. Вытяжки не работают!"
595,0,за свою цену нормально. 
596,0,"Пытался купить в этом магазине гигиенический душ. Сначала оказалось, что нужного товара нет, хотя на сайте есть. Потом мне предложили самому поспрашивать их есть ли в наличии. Сами не могли сразу сказать что есть."
597,1,"списали 200 рублей якобы за возврат товара. Товар не заказывал и не оплачивал. Никаких уведомлений на телефон не присылали, да и в личном кабинете, как выяснилось тоже."
598,1,Мы бронировали номера. В самом номере было очень чисто. Но не понравился туалет и душ. Был очень неприятный запах в уборной и очень большая влажность.
599,1,"Доктор умеет общаться с детьми, коммуникабельная, понравилось, как провела осмотр, расписала лечение. Лечение прошли уже полностью. Выбрала эту клинику в интернете, по рейтингу посмотрела. Администратор встретил замечательно. Чистота в клинике соблюдается."
600,0,Карта иногда работает 
601,0,телик как телик
602,1,"Мастер ногтевого сервиса запомнилась быстрой работой, за полтора часа она сняла чужую работу, сделала маникюр и покрыла ногти в один тон. Ногти я проносила долго, никаких сколов, отслоек не было, я довольна работой, наверное, обращусь еще."
603,0,Дважды прислали брак. За первый(чайник) деньги вернули только какими-то бонусами. На карту отказались возвращать.
604,0,"Единственный плюс это отсутствие работающих камер и охраны, можно свободно воровать"
605,0,Невозможно использовать!
606,0,Отлично сдавать сюда медь
607,0,В заброшке полы чище
608,0,обычные жулики-на цены на сайте не смотрите-обычный дешевый развод)))
609,1,"Вспомним, что в одном килограмме 1 000 грамм. 1 килограмм = 1 000 грамм."
610,1,"Заказ оформили в пятницу, доставку обещали на вторник, но товар так и не доставили. Уже после обеда, во вторник звоню Менеджеру говорю когда будет доставка, а в ответ я вам перезвоню не могу связаться со складом. Звонила 5 раз, результата ноль."
611,1,"Заявленные цены не соответствуют реальности. На сайте указано плетение косы от 50 до 250 руб, в реальности в салоне на ст м Преображенская площадь мне назвали цену 800 руб на длинные волосы"
612,1,Мы бронировали номера. В самом номере было очень чисто. Но не понравился туалет и душ. Был очень неприятный запах в уборной и очень большая влажность.
613,1,"Поначалу было довольно сложно вникнуть в то, что же происходит - слишком много персонажей и информации. Но как только вливаешься в историю, оторваться уже не получается!"
614,0,"Шум на всю комнату, невозможно жить! "
615,1,"Качество предлагаемой ванной мебели и брак. На звонки о замене поменять никакой реакции, пропихнули вам, денюжку собрали и потерялись. НЕ рекомендую обращаться!"
616,1,"Приняли вовремя по записи. Ребенку лечили зубной кариес. Лечение длилось около часа. Во время процедуры чувствовал себя хорошо. Результат отличный, дальнейшее лечение не требуется."
617,1,"Вписывают то, что не делалось или подменяют одну услугу другой — выше по стоимости. Заплатила за светоотражающую пломбу, по факту была поставлена пломба фуджи. По самой работе претензий нет."
618,1,"Магазин накручивает рейтинг мнимыми (неисполняемыми) заказами!! Полное отсутствие какого бы то ни было сервиса, отвратительное отношение к клиентам."
619,0,простая мобила
620,0,"Стильный дизайн, эффектный внешний вид."
621,1,"Была сделана некачественная уборка после последних клиентов, вода плохо уходит в душевой после бассейна, грязный потолок."
622,0,Историчка орёт много
623,0,звук просто - ну как сказать ..ну когда прям вообще громкА и слышнА
624,1,"Пдруга посоветовала этот салон. Приехала за стрижкой, но сделала еще и колорирование. Очень довольна, мастер явно профессионал, имя не помню к сожалению."
625,0,Не люблю сосиски они зелёные
626,0,Пока шёл я замёрз и меня съели волки
627,1,"Звук ужасен, одни высокие частоты, низких нет практически вообще"
628,0,Замечательные продавцы
629,1,"От знакомых мне стало известно про этот отель, а я как раз собирался в Питер, вот и было решено тут остановиться и все отлично. Самое главное то что отель расположен в центре города и отсюда можно куда угодно за пару минут добраться, что уже очень хорошо."
630,1,"Был куплен товар, при приеме внешних повреждений не было, но дома обнаружился брак. Обратился в магазин, но в ответ сказали что надо было лучше принимать. Покупатель обязан проверять качество при выдаче товара."
631,1,Заказала компьютерный стул.Пришел полный брак..Его не возможно было собрать т.к отверстия не совпадали и не стыковались.
632,0,"Стильный дизайн, эффектный внешний вид."
633,1,"Восстанавливали пломбу. Врач был очень аккуратен и внимателен, провел чистку канала, сделали рентген и запломбировали. Врач вежливый, профессионал своего дела. Мне было комфортно. В самой клинике чисто, видно, что часто обновляют ремонт. Персонал хороший и приветливый."
634,0,"Как-то давно попалась в руки книжка о восточных мудростях и удивился тому, что сюжеты в них и баснях Крылова одинаковы. Заслуга Крылова в том, что он положил их на стихи и выводил мудрую, остроумную, ироничную мораль в каждой басне."
635,1,"Все прошло стабильно хорошо. Меня покрасили в русый тон, как я и просила. Мастер освежил цвет и закрасил седину. Стрижку специалист мне выполнил в стиле каре."
636,1,"Обращался в стоматологию, лечили кариес и делали чистку. Остался доволен качеством лечения. Доктор профессионал. Процедура прошла комфортно. От анестезии отошел легко, без побочных эффектов."
637,1,"Площадка не за что не отвечает. Если по ошибке заказываешь больше нужного количества товара, отменить, то тут же сразу отменить нельзя. Соответственно отправляют всё, что успел нажать для добавления. Соответственно после этого автоматически платный отказ."
638,1,"Не прошла еще неделя и такое ощущение, что маникюр не делала. Кутикула очень отросла. Я была два раза у Фатимы. В первый раз делала у этого мастера маникюр — все было отлично. Но второй раз мне не понравился. Покрытие хорошее, я довольна."
639,0,Картинка не понравилась
640,1,"Мы остались не довольны обслуживанием администратора, к сожалению, не знаю её имя. Кода мы пришли, то хамам был холодным, хотя бронировали на определенное время. Мы сказали об этом администратору, а она в ответ нам нахамила, даже повысила голос."
641,0,"Единственный плюс это отсутствие работающих камер и охраны, можно свободно воровать"
642,0,Жгучий и ароматный
643,0,Пусть они все будут страдать
644,1,"Лёгкий, не слишком шумный, удобно пользоваться, шнур вилки длинный, что весьма удобно. Есть блокировка кнопок, что не даст случайно поменять режим или температуру. "
645,1,"Когда начались проблемы, менеджер перестала видеть наши письма и брать трубку.Заказал плитку. Договаривались о доставке в субботу. В субботу мне сказали, что машина не смогла увезти мою плитку из-за веса."
646,1,"Беспредел, который творит компания, не поддаётся никакой логике или пониманию. Удержаны деньги за доставку товара, который не заказывала."
647,0,не рекомендую)
648,1,"Уже в который раз заказываю товар, а он либо приходит уже испорченный, либо вообще не то что заказывал ни по цвету, ни по модели."
649,0,"Долго выбирала фен. Этот полностью меня устроил по всем характеристикам. Мощный, тихий, удобный. Стильный. "
650,1,"Годный триллер, чтобы провести за его чтением половину дня и не пожалеть об этом. Правда, я не очень люблю истории, где главный герой и сам не в курсе, что было с ним на самом деле, а что ему показалось."
651,0,"Если раньше была уверенность, что там ты покупаешь хороший оригинальный товар, то сейчас весь сайт заполнен китайской дешевой подделкой под одинаковыми карточками товаров. Магазин кишит непонятными продавцами."
652,1,"Я впервые обратилась за наращиванием ресниц в этот салон. Мне понравился мастер, который меня обслужил, все в порядке в его работе, все объяснил и сделал все довольно быстро и хорошо, красиво получилось."
653,1,"На процедуре чувствовала себя комфортно, маникюр и педикюр был с однотонном покрытием, результатом довольна, мастер работает на качественных материалах, сейчас с ногтями всё хорошо, мне всё понравилось."
654,0,Отличный телевизор в своём ценовом сигменте
655,0,_NO_TEXT_
656,0,Слишком плохо! 
657,0,Отличное средство но я ничего не понял
658,0,Круто но фигня
659,1,"Довольно большой, видно издалека."
660,1,"Единственный плюс это отсутствие работающих камер и охраны, можно свободно воровать"
661,1,Внук учится в этой школе
662,1,Пока шёл я замёрз и меня съели волки
663,0,Грязно. Темно. Печально
664,0,"Столкнулась с проблемой возврата денег за обратную доставку бракованного товара. Заказала тени, в пункте выдачи вынесли полностью раскрошенную палетку, сказали, что у них отсутствует функция пометки брака и что я самостоятельно должна написать обращение на возврат средств и приложить фото."
665,0,Работает тихо.
666,1,"Дороги кладбища разбиты. Не пройти, не проехать"
667,0,"В целом понравились маятники, про которые говорит автор. Про перекосы в одну или другую сторону. Про то, что не надо грести против течения и тд."
668,0,"Мастер педикюра Анастасия при проведении аппаратного педикюра изранила ногу, затем накричала на меня, сказав, что я больная и без справки она меня обслуживать не будет. Попросила жалобную книгу — пришло аж 3 администратора, 20мин ищут одну жалобную книгу.
Проросила документы на обучение Анастасии и ее мед книжку. Тоже не несут."
669,0,"Шикарный, мощный, любые волосы выпрямляет. "
670,0,скорее всего брак
671,0,"Вернуть бы сейчас ту прекрасную пору и невероятную память. Ну а издание - да конечно же рекомендую. Купите для ваших детей, чтобы не забивали головы интернетом и глупыми женскими романами, которые следует просто запретить издавать."
672,0,Нужен косметические ремонт
673,0,"Небольшая, но удобная касса"
674,0,_NO_TEXT_
675,0,у меня сегодня отличное настроение
676,0,"Самая не клиентоориентированная студия, которую я встречала. Записывалась в студию Body Parts аж за 2,5 недели на пирсинг. В назначенный день дверь никто не открывает, на телефон не отвечают, в вотсап сообщения игнорируют. Студия просто закрыта, а клиентам сообщить этот факт не посчитали нужным! Вместо того, чтобы извиниться за недоразумение, продолжают игнорировать. Сервис отсутствует полностью."
677,0,"Да, именно такие слова нужны любому, кто решит поменять все в своей жизни, следуя своему предназначению. Книга написана простым языком, но ты чувствуешь и страх, и боль, и любовь, и горе, и тайну, которая все расставит все по своим местам."
678,0,Почему я должна ждать
679,1,Памятник советской эпохи в центре города
680,0,телик как телик
681,0,"Как в музее, пришёл, посмотрел и ушёл"
682,0,"Пока шёл чтобы забрать посылку, меня чуть медведь не сожрал"
683,0,Микрофон никакой
684,0,"невозможно дозвониться, наличие отсутствует, написал жалобу - обещали перезвонить, несколько дней прошло -звонка нет, товар забрать не могу."
685,0,"Сушит не повреждая! Можно использовать холодный поток воздуха нажимая на кнопку, не держа. "
686,1,"Крутой гриль! С простым управлением. Очень много программ, включая программы для приготовления овощей. Это был основной критерий при выборе гриля. Баклажаны, картофель, помидоры и перец, получаются просто объедение! Советую всем."
687,0,Очень хорошо охлаждает.
688,1,"Заказ оформили в пятницу, доставку обещали на вторник, но товар так и не доставили. Уже после обеда, во вторник звоню Менеджеру говорю когда будет доставка, а в ответ я вам перезвоню не могу связаться со складом. Звонила 5 раз, результата ноль."
689,0,"Мне нравится, что быстро флюорографию сделали. Нравится обслуживание, очень все вежливые, очень всё быстро делают, нет очередей."
690,1,не рекомендую)
691,0,Просто ужасный товар! Не капли не соответствует качеству!
692,1,"Мастер ногтевого сервиса запомнилась быстрой работой, за полтора часа она сняла чужую работу, сделала маникюр и покрыла ногти в один тон. Ногти я проносила долго, никаких сколов, отслоек не было, я довольна работой, наверное, обращусь еще."
693,1,"Доктор ответила на все вопросы, была вежливая, доброжелательная, тактичная по отношению ко мне. Времени на прием было выделано вполне достаточно. Она расписала план лечения, рассказала о стоимости по каждой манипуляции."
694,1,"Это гостиница привлекает несколькими моментами. Основное — удобное местоположение в самом центре города и очень приемлемая цена. К тому же, в гостинице отличный сервис, чисто и уютно."
695,0,"Заказывайте курьером, а не Почтой России. Два раза покупал здесь запчасти для Лэнд Ровера. Первый раз по Почте, ждал больше месяца и никто не мог ответить, когда посылка придет. Второй раз — с курьером, который сработал как часы. Доставили за три дня."
696,1,"Доктор ответила на все вопросы, была вежливая, доброжелательная, тактичная по отношению ко мне. Времени на прием было выделано вполне достаточно. Она расписала план лечения, рассказала о стоимости по каждой манипуляции."
697,0,"Я осталась очень недовольна качеством услуг. Укладка была ужасная, объём отсутствовал. "
698,0,"Мастера знают свое дело,все понравилось!
Только есть один и очень жирный минус администраторы наглые ведут себя так как будто к ним домой пришли а не в салон!"
699,0,Выглядит хорошо
700,1,"Халатное отношение к клиентам, дезинформация клиента, просто плохой магазин, который ничем не привлекает к себе."
701,1,"Я давно лечу зубы в клинике, всегда остаюсь довольна работами. Последний раз мне лечили от кариеса зубы передние, за один прием запломбировали все, ставили цветовую пломбу."
702,0,"Магазин накручивает рейтинг мнимыми (неисполняемыми) заказами!! Полное отсутствие какого бы то ни было сервиса, отвратительное отношение к клиентам."
703,1,Пахнет бензином
704,1,"Человек растет примерно до 25 лет. На этот процесс оказывают влияние гормоны, питание, физические нагрузки и генетические особенности."
705,0,"С этой книги у меня началась любовь к чтению. Мне было такое удовольствие читать, что просто не вообразить."
706,1,"Сломался на второй день эксплуатации, перестал видеть сим-карту."
707,0,Выбор гостиницы для недельного проживания в Санкт-Петербурге я сделал вполне удачно и эта гостиница оказалась очень даже неплохо обустроена. В моем номере были все необходимые атрибуты для отдыха после тяжёлого дня и в номере было очень чисто.
708,1,"Долго выбирала фен. Этот полностью меня устроил по всем характеристикам. Мощный, тихий, удобный. Стильный. "
709,1,"Для меня важно было наличие NFC и мощный аккумулятор. Это есть в данном смартфоне. При этом цена невысокая, а с учётом накопленных бонусов и вовсе смешная."
710,0,Выглядит хорошо
711,1,"Отличный фен. Регулируется мощность и температурный режим. Приятный на ощупь, выглядит аккуратно. Имеет длинный шнур, 2 насадки в комплекте, специальный мешочек под фен. "
712,0,"В мае посетила вашу студию. Обстановка действительно уютная .А что касается мастеров, большой вопрос. Мастер так рьяно делала мне маникюр, что в последствии мне пришлось посещать хирурга. На мои замечания во время процедуры, она заявила, что у меня много кожи. Дорогие дамы 300 раз подумайте прежде чем посещать столь уютное место."
713,1,"Хорошая гостиница с отличным сервисом, я довольна тем, что выбрала именно ее, когда была в Питере в командировке. Здесь и номера не дорогие, но очень хорошие и просторные. Обслуживание очень понравилось, с этим полный порядок. Расположение хочу отметить, легко добраться куда угодно."
714,0,Пока ждал можно было всю вселенную облететь
715,1,"Привезли в дребезги разбитую чашку. Сотрудница пункта ВБ оформила, как брак. С карты сняли 50 рублей за возврат."
716,0,"Отличный телефон, рекомендую к покупке!"
717,1,Дважды прислали брак. За первый(чайник) деньги вернули только какими-то бонусами. На карту отказались возвращать.
718,1,Нет туалета
719,1,Неумная контора клоунов
720,0,"Шикарный, мощный, любые волосы выпрямляет. "
721,1,Мы бронировали номера. В самом номере было очень чисто. Но не понравился туалет и душ. Был очень неприятный запах в уборной и очень большая влажность.
722,0,Картинка не понравилась
723,1,"Продают бракованный товар, непонятно как и куда вернуть товар, и обратно получить деньги."
724,0,скорее всего брак
725,1,В заброшке полы чище
726,1,устарел
727,0,Круто но фигня
728,1,"На процедуре чувствовала себя комфортно, маникюр и педикюр был с однотонном покрытием, результатом довольна, мастер работает на качественных материалах, сейчас с ногтями всё хорошо, мне всё понравилось."
729,1,"В мае посетила вашу студию. Обстановка действительно уютная .А что касается мастеров, большой вопрос. Мастер так рьяно делала мне маникюр, что в последствии мне пришлось посещать хирурга. На мои замечания во время процедуры, она заявила, что у меня много кожи. Дорогие дамы 300 раз подумайте прежде чем посещать столь уютное место."
730,0,Слишком плохо! 
731,1,"Пользуюсь не первым роботом-пылесосом, поэтому есть, с чем сравнивать. До этого пылесос имел салфетку, которую нужно было полоскать, назвать это мытьём пола язык не поворачивается. У BORK мытьё пола гораздо лучше, сухая уборка тоже отличная. Качество упаковки и товара на высоте. Пылесос справляется со своими функциями. "
732,1,Внук учится в этой школе
733,1,"В данный центр я приходил на рентген. Мне особенно понравилась доступность услуг. Я пришел и без очередей, быстро сделал все, что мне было нужно. Процедура прошла нормально, все было в порядке и меня все устроило. Во время процедуры все было чисто и стерильно. Результаты мне выдали сразу после исследования."
734,1,Карта иногда работает 
735,0,Нет осьминога
736,0,В общем и целом телевизор хороший. Телевизор для просмотра большой компанией.
